Date,Filename,yeah idk,Num Seeds,acc,TP,TN,FP,FN,F-measure,AUC,Classifier,Classifer Parameters
5/28/18,ran_7_1_2_11_12_17_18_20,29,10,66.4,0.66,0.66,0.34,0.34,0.66,0.77,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_3_4_8_11_12_20,29,10,66,0.66,0.66,0.34,0.34,0.66,0.67,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_7_9_11_12_13_14,29,10,66,0.66,0.66,0.34,0.34,0.66,0.73,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_3_4_12_20_21,29,10,65.6,0.66,0.65,0.35,0.34,0.66,0.66,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_3_4_8_9_10_16_20,29,10,65.6,0.66,0.65,0.35,0.34,0.65,0.67,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_7_9_12_13_14_17,29,10,65.6,0.66,0.65,0.35,0.34,0.66,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_7_8_10_12_16_19,29,10,65.6,0.66,0.65,0.35,0.34,0.66,0.73,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_6_9_10_13_19_20,29,10,65.2,0.65,0.65,0.35,0.35,0.65,0.68,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_3_5_9_11_16_17_21,29,10,65.2,0.65,0.66,0.34,0.35,0.65,0.7,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_6_9_11_12_15_16_21,29,10,65.2,0.65,0.66,0.34,0.35,0.65,0.68,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_5_6_11_12_13_15_20,29,10,65.2,0.65,0.65,0.35,0.35,0.65,0.74,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_8_9_10_13_15_21,29,10,64.8,0.65,0.65,0.35,0.35,0.64,0.68,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_9_11_12_14_15_21,29,10,64.4,0.64,0.65,0.35,0.36,0.64,0.67,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_5_7_8_13_17_18,29,10,64.4,0.64,0.65,0.35,0.36,0.64,0.71,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_2_3_7_10_12_13_16,29,10,64.4,0.64,0.65,0.35,0.36,0.64,0.65,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_4_5_11_13_14_18_19,29,10,64,0.64,0.64,0.36,0.36,0.64,0.66,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_7_11_12_14_16_19,29,10,62.8,0.63,0.63,0.37,0.37,0.63,0.67,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_6_9_10_11_21,29,10,62.8,0.63,0.63,0.37,0.37,0.63,0.7,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
5/28/18,ran_7_1_2_3_4_5_11_21,29,10,62,0.62,0.62,0.38,0.38,0.62,0.68,weka.classifiers.trees.RandomForest,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
