electrode1,electrode2,electrode3,electrode4,electrode5,electrode6,electrode7,electrode8,electrode9,electrode10,electrode11,electrode12,electrode13,electrode14,electrode15,electrode16,electrode17,electrode18,electrode19,electrode20,electrode21
0.5939,0.69042,-3.565,6.1797,-7.4069,4.732,0.33695,-0.4487,2.8226,-7.0925,7.7145,4.4742,-0.9013,10.123,-1.473,7.2097,1.182,1.4105,6.9588,4.5392,-0.52144
1.3397,2.3518,-1.7786,3.8555,-3.7188,5.1742,0.44449,0.44515,5.0497,-6.6052,6.3874,5.5353,-2.7009,8.9699,-3.8393,5.7141,-0.32313,0.071993,5.0802,4.1167,-3.0273
1.866,2.5454,-0.5936,2.0602,-0.57222,4.9256,0.011878,1.0666,6.4983,-5.8107,4.1713,5.4511,-3.4926,6.6461,-4.7821,3.4097,-1.6322,-0.7702,2.8131,3.642,-4.5862
1.794,1.2136,-0.59938,0.8239,-0.39703,3.9777,-1.0291,0.77576,6.2596,-4.5645,1.4435,4.0794,-3.7955,3.1255,-4.6297,0.51145,-2.9986,-1.4687,-0.033763,2.4724,-5.4173
0.80416,-0.96846,-1.3325,-0.50348,-2.9696,2.5041,-1.9678,0.032517,4.1028,-3.2456,-1.329,1.6945,-3.6446,-1.0955,-4.1012,-2.6923,-4.3615,-2.0781,-3.489,0.20789,-5.7867
-0.78278,-2.7715,-1.6174,-2.0253,-5.8741,1.1275,-1.5929,0.17959,0.55615,-2.6155,-3.3232,-0.72086,-2.1317,-4.9349,-3.5113,-5.5672,-5.1136,-2.0687,-7.0221,-2.755,-5.6395
-1.9257,-2.974,-0.53624,-2.9446,-6.7473,0.80353,0.84508,2.2551,-3.3114,-3.1398,-3.427,-1.7553,1.6188,-7.1862,-2.6574,-7.1702,-4.5919,-0.84424,-9.5952,-5.285,-4.8634
-1.5705,-1.1216,1.8002,-2.452,-5.0481,2.1494,4.7876,5.8984,-6.2128,-4.3758,-1.0179,-0.49173,6.9714,-7.3423,-1.4559,-6.8221,-2.8437,1.4104,-10.317,-6.3122,-3.8411
0.48304,2.092,4.3277,-0.62848,-1.9081,4.8166,8.4906,9.4246,-7.0682,-5.0301,3.2092,2.7109,11.51,-6.0193,-0.48905,-4.7082,-0.8129,3.532,-9.13,-5.6503,-3.49
3.428,5.2739,5.8796,1.7504,1.3908,7.6702,10.207,11.112,-5.5385,-3.8157,7.4616,6.4651,12.673,-4.4143,-0.66538,-1.7695,0.38974,4.2544,-6.7876,-3.9918,-4.499
